Length,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
3.7449,100,0.578,0.604,0.366,0.0,0.133,-7.519,0.0282,141.981,0.13
2.3634166666666667,93,0.0383,0.591,0.764,0.0,0.103,-5.484,0.0483,169.928,0.478
3.5392,91,0.0221,0.741,0.691,0.0,0.0476,-7.395,0.0672,150.087,0.892
3.9800833333333334,92,0.44,0.761,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,0.531
2.8037833333333335,93,0.161,0.831,0.554,6.12e-05,0.152,-9.998,0.218,140.026,0.396
3.3789166666666666,79,0.0354,0.795,0.8,7.25e-05,0.0915,-6.32,0.0309,116.032,0.934
3.9,91,0.00279,0.542,0.659,0.0,0.105,-7.289,0.0389,120.122,0.109
3.4642166666666667,96,0.281,0.788,0.859,0.0,0.0424,-2.724,0.0856,141.02,0.822
3.7699666666666665,84,0.0114,0.573,0.711,0.0,0.328,-6.268,0.0406,105.006,0.47
4.785333333333333,84,0.00776,0.762,0.766,6.98e-05,0.128,-3.955,0.0343,130.001,0.442
3.8506833333333335,97,0.0469,0.808,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,0.591
2.8771,96,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,0.881
2.43,95,0.365,0.727,0.739,0.00137,0.161,-3.805,0.0411,93.005,0.533
3.139466666666667,94,0.436,0.579,0.596,0.0938,0.0549,-4.823,0.0561,119.9,0.443
2.39835,95,0.00614,0.737,0.846,0.0,0.0486,-4.51,0.22,87.981,0.546
2.9691,96,0.335,0.563,0.664,0.0,0.0849,-5.044,0.154,166.928,0.688
3.526,96,0.127,0.714,0.8,0.0,0.359,-4.808,0.0504,134.002,0.589
3.509333333333333,94,0.304,0.664,0.609,0.0,0.0926,-6.509,0.0707,130.041,0.194
2.6967166666666667,94,0.186,0.7,0.49,0.0,0.117,-5.187,0.076,79.982,0.569
2.2950666666666666,91,0.293,0.593,0.503,0.0,0.405,-6.725,0.22,178.781,0.71
3.455016666666667,93,0.0889,0.639,0.703,1.78e-06,0.0865,-6.33,0.0794,169.888,0.138
3.4777666666666667,87,0.259,0.764,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,0.781
4.98165,94,0.767,0.332,0.225,0.00349,0.128,-8.697,0.0348,81.055,0.297
2.711333333333333,92,0.0153,0.773,0.47,0.000193,0.0851,-7.93,0.0299,94.995,0.399
3.8204333333333333,93,0.691,0.38,0.339,0.0,0.12,-7.885,0.0338,100.607,0.0849
3.4451666666666667,93,0.276,0.644,0.648,0.0,0.135,-4.601,0.118,179.951,0.44
3.3844,88,0.00883,0.702,0.825,0.0,0.0674,-3.787,0.0601,102.977,0.915
3.334,92,0.00146,0.514,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.334
2.46995,91,0.515,0.671,0.636,0.000411,0.172,-8.117,0.103,120.966,0.262
4.2934,93,0.000619,0.803,0.597,4.5e-06,0.323,-6.035,0.141,136.008,0.331
3.3267333333333333,84,0.302,0.78,0.719,0.000196,0.0931,-3.613,0.0506,127.962,0.336
3.8354166666666667,92,0.422,0.725,0.86,0.000284,0.0674,-3.726,0.182,175.896,0.791
3.30135,92,0.321,0.677,0.696,0.0,0.42,-6.181,0.119,90.03,0.464
2.553166666666667,85,0.185,0.601,0.741,2.91e-05,0.415,-5.569,0.0478,153.96,0.441
3.6699333333333333,83,0.0106,0.747,0.739,2.22e-05,0.101,-6.008,0.0487,120.996,0.523
4.049416666666667,91,0.0635,0.849,0.424,0.0,0.0834,-9.579,0.324,145.887,0.153
2.6776,86,0.0018,0.717,0.671,2.54e-06,0.0921,-5.077,0.0337,110.054,0.699
2.341666666666667,91,0.198,0.77,0.787,0.0,0.262,-3.748,0.0583,119.986,0.513
3.5822166666666666,86,0.00884,0.748,0.779,3.96e-05,0.113,-6.659,0.0342,128.91,0.928
4.006666666666667,90,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,0.398
3.76,83,0.00406,0.8,0.837,0.00313,0.0904,-2.807,0.0491,100.015,0.702
2.71005,90,0.018,0.787,0.833,0.00747,0.0374,-4.403,0.0478,123.97,0.796
4.03355,91,0.768,0.561,0.431,1.42e-05,0.106,-8.81,0.0578,143.875,0.137
3.49805,90,0.166,0.734,0.846,1.74e-06,0.235,-3.425,0.0489,98.026,0.604
3.80155,50,0.138,0.73,0.769,0.0,0.0473,-5.114,0.0298,104.948,0.507
2.177766666666667,80,0.0177,0.924,0.723,2.61e-05,0.113,-3.142,0.0466,126.998,0.643
2.67065,68,0.583,0.575,0.648,0.0,0.115,-4.891,0.0358,75.977,0.466
3.18355,91,0.0215,0.65,0.825,2.44e-05,0.0936,-4.645,0.0325,118.091,0.593
4.848333333333334,85,0.322,0.372,0.566,0.0,0.0953,-6.779,0.0519,146.399,0.28
4.852916666666666,92,0.0503,0.666,0.465,0.0,0.215,-8.545,0.26,167.937,0.292
4.204366666666667,78,0.00588,0.711,0.611,0.0,0.23,-5.453,0.33,134.093,0.144
4.6642166666666665,83,0.0045,0.739,0.74,0.0,0.161,-5.86,0.333,75.575,0.488
2.0664333333333333,88,0.492,0.829,0.512,0.0,0.12,-5.865,0.187,80.511,0.638
4.586566666666666,87,0.632,0.39,0.499,0.000497,0.115,-7.778,0.0381,200.156,0.34
2.8850666666666664,88,0.449,0.603,0.783,7.96e-06,0.119,-4.023,0.062,172.041,0.775
2.7511,84,0.0536,0.91,0.585,0.0,0.127,-7.572,0.257,129.011,0.599
2.69755,70,0.114,0.649,0.76,0.0,0.317,-6.487,0.0574,80.018,0.843
2.765416666666667,79,0.41,0.789,0.536,0.0,0.129,-6.862,0.242,81.039,0.437
2.304883333333333,89,0.315,0.912,0.655,3.39e-05,0.0894,-6.029,0.162,91.942,0.793
3.69965,90,0.181,0.767,0.438,0.0,0.142,-8.726,0.29,86.975,0.381
3.7775333333333334,86,0.00904,0.798,0.545,9.48e-05,0.258,-6.466,0.168,118.029,0.212
4.053116666666667,86,0.0466,0.587,0.561,0.0,0.109,-6.569,0.146,80.009,0.351
3.102883333333333,86,0.0164,0.828,0.621,0.00233,0.0845,-6.414,0.0565,128.986,0.436
2.5079166666666666,79,0.0951,0.545,0.82,0.0,0.29,-4.489,0.275,141.908,0.357
2.9042166666666667,87,0.506,0.855,0.488,0.0,0.347,-4.601,0.208,124.097,0.619
4.8831,86,0.301,0.692,0.521,0.0,0.0565,-8.465,0.33,100.45,0.463
3.5691333333333333,85,0.38,0.405,0.565,0.0195,0.107,-9.266,0.0372,159.892,0.166
2.894,77,0.125,0.731,0.626,0.0,0.183,-6.919,0.0805,82.488,0.862
3.623466666666667,78,0.0155,0.628,0.877,5.97e-06,0.113,-4.205,0.046,101.992,0.721
3.3104833333333334,41,0.151,0.781,0.673,0.0167,0.165,-5.913,0.0336,123.979,0.961
3.7711333333333332,77,0.0833,0.689,0.706,0.0,0.105,-4.48,0.0312,106.52,0.623
3.40155,88,0.877,0.422,0.34,1.77e-05,0.149,-6.577,0.0351,77.213,0.223
2.58305,88,0.00226,0.721,0.738,4.41e-06,0.118,-4.77,0.0403,119.976,0.637
3.7162166666666665,83,0.00121,0.352,0.911,0.0,0.0995,-5.23,0.0747,148.033,0.236
2.5240666666666667,88,0.0468,0.334,0.599,0.000392,0.205,-5.742,0.0365,161.74,0.127
4.296666666666667,85,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,120.151,0.789
3.2533333333333334,78,0.288,0.768,0.374,1.67e-06,0.111,-12.49,0.723,75.503,0.398
3.90555,80,0.277,0.817,0.775,0.0,0.108,-4.767,0.108,126.984,0.806
1.8108333333333333,84,0.377,0.769,0.809,0.0,0.238,-4.529,0.0554,143.074,0.886
4.754,50,0.893,0.556,0.319,0.0,0.0996,-8.251,0.0281,135.187,0.294
2.2284333333333333,73,0.0229,0.815,0.849,0.000176,0.026,-4.704,0.114,106.035,0.685
2.8891,91,0.00165,0.75,0.608,0.0,0.178,-4.008,0.0387,132.507,0.958
2.3278666666666665,86,0.051,0.774,0.792,0.0,0.155,-4.021,0.0523,122.062,0.507
4.289466666666667,85,0.237,0.664,0.692,0.0,0.0798,-4.128,0.127,154.924,0.233
2.6062666666666665,78,0.00242,0.684,0.514,0.0,0.193,-8.584,0.0327,88.014,0.202
2.482666666666667,70,0.0185,0.695,0.781,3.12e-05,0.295,-5.578,0.0452,124.04,0.456
3.3036833333333333,65,0.409,0.68,0.553,0.0,0.0847,-7.116,0.042,99.999,0.352
4.765583333333334,83,0.536,0.495,0.323,0.0,0.109,-6.901,0.0275,109.731,0.14
2.903216666666667,79,0.0564,0.812,0.634,0.0,0.276,-4.96,0.163,124.074,0.463
2.689766666666667,73,0.0682,0.626,0.864,0.0,0.087,-3.12,0.0378,123.833,0.555
2.684,79,0.000222,0.814,0.874,0.522,0.276,-5.316,0.0425,123.992,0.434
4.1613,73,0.00826,0.812,0.796,0.921,0.365,-10.548,0.0356,125.976,0.961
2.634916666666667,85,0.015,0.621,0.989,0.357,0.184,-4.225,0.0434,126.002,0.0348
4.04955,43,0.00408,0.603,0.67,1.68e-06,0.112,-3.882,0.0249,107.993,0.446
2.9466666666666668,79,0.0151,0.638,0.878,0.000223,0.308,-3.639,0.0484,103.948,0.481
2.642316666666667,58,0.409,0.56,0.763,0.0,0.122,-4.159,0.105,91.058,0.346
3.0620833333333333,85,0.216,0.595,0.784,0.0,0.0608,-4.878,0.102,124.111,0.479
2.9528833333333333,69,0.014,0.572,0.833,5.77e-05,0.129,-5.291,0.0754,158.104,0.588
2.9692666666666665,75,0.217,0.806,0.513,0.0,0.217,-6.208,0.0685,124.988,0.503
3.534,80,0.907,0.317,0.172,0.000383,0.105,-10.636,0.0326,65.18,0.0963
3.717966666666667,80,0.0347,0.691,0.51,3.32e-06,0.182,-9.217,0.0878,164.055,0.515
3.5084333333333335,76,0.291,0.616,0.47,0.0,0.111,-6.092,0.0253,80.03,0.325
2.8776166666666665,70,0.5,0.741,0.627,0.0,0.301,-8.372,0.355,145.169,0.762
4.19555,74,0.313,0.871,0.519,8.14e-06,0.0869,-6.549,0.258,140.013,0.532
2.9090833333333332,76,0.174,0.763,0.666,0.0,0.108,-10.844,0.359,143.0,0.69
2.9895666666666667,79,0.0624,0.81,0.571,1.63e-06,0.094,-7.189,0.085,125.994,0.771
